EffectTypeInt,GroupID,Param1,TargetUnitTypes,id,Param2,Param3,Param4,Param5
1,10001,10001,"1,-1",1001,,,,
1,10002,10002,"1,-1",1002,,,,
1,10003,10003,"1,-1",1003,,,,
4,10004,RV_BOOST_MONEY_ITEM_ID,"-1,-1",1004,RV_BOOST_MONEY_COUNT,RV_EarnItem,money_rv,RV
4,10005,RV_BOOST_GEAR_ITEM_ID,"-1,-1",1005,RV_BOOST_GEAR_COUNT,RV_EarnItem,gear_rv,RV
1,10006,10004,"1,-1",1006,,,,
5,10006,Smelter,"-1,-1",1007,180,0,,
5,10007,SalesStand,"-1,-1",1009,0,300,,
4,10008,RV_BOOST_GEM_ITEM_ID,"-1,-1",1010,RV_BOOST_GEM_COUNT,RV_EarnItem,gem_rv_lobby,RV
8,10009,,"-1,-1",1012,,,,
9,10009,10005,"-1,-1",1013,,,,
4,10010,RV_BOOST_ATM_ITEM_ID,"-1,-1",1014,RV_BOOST_ATM_COUNT,RV_EarnItem,atm_rv,RV
1,20001,20001,"1,-1",2001,,,,
1,20001,20002,"1,-1",2002,,,,
1,20001,20003,"1,-1",2003,,,,
1,30001,30001,"-1,-1",3001,,,,
1,30001,30002,"-1,-1",3002,,,,
1,30001,30003,"-1,-1",3003,,,,
1,30001,30004,"-1,-1",3004,,,,
1,100001,1000001,"1,-1",100001,,,player_speed_urgent_shop,
1,100002,1000002,"1,-1",100002,,,player_damage_urgent_shop,
1,100003,1000003,"1,-1",100003,,,,
4,1000001,IN_APP_PURCHASE_GEM_ITEM_ID,"-1,-1",1000001,IN_APP_PURCHASE_GEM_COUNT1,None,1001,iap_purchase
4,1000011,IN_APP_PURCHASE_GEM_ITEM_ID,"-1,-1",1000011,IN_APP_PURCHASE_GEM_COUNT2,None,1002,iap_purchase
4,1000021,IN_APP_PURCHASE_GEM_ITEM_ID,"-1,-1",1000021,IN_APP_PURCHASE_GEM_COUNT3,None,1003,iap_purchase
4,1000031,IN_APP_PURCHASE_GEM_ITEM_ID,"-1,-1",1000031,IN_APP_PURCHASE_GEM_COUNT4,None,1004,iap_purchase
4,1000041,IN_APP_PURCHASE_GEM_ITEM_ID,"-1,-1",1000041,IN_APP_PURCHASE_GEM_COUNT5,None,1005,iap_purchase
4,1000051,IN_APP_PURCHASE_GEM_ITEM_ID,"-1,-1",1000051,IN_APP_PURCHASE_GEM_COUNT6,None,1006,iap_purchase
4,1001001,IN_APP_PURCHASE_GEM_ITEM_ID,"-1,-1",1001001,IN_APP_PURCHASE_DOUBLE_GEM_COUNT1,None,1101,iap_purchase
4,1001011,IN_APP_PURCHASE_GEM_ITEM_ID,"-1,-1",1001011,IN_APP_PURCHASE_DOUBLE_GEM_COUNT2,None,1102,iap_purchase
4,1001021,IN_APP_PURCHASE_GEM_ITEM_ID,"-1,-1",1001021,IN_APP_PURCHASE_DOUBLE_GEM_COUNT3,None,1103,iap_purchase
4,1001031,IN_APP_PURCHASE_GEM_ITEM_ID,"-1,-1",1001031,IN_APP_PURCHASE_DOUBLE_GEM_COUNT4,None,1104,iap_purchase
4,1001041,IN_APP_PURCHASE_GEM_ITEM_ID,"-1,-1",1001041,IN_APP_PURCHASE_DOUBLE_GEM_COUNT5,None,1105,iap_purchase
4,1001051,IN_APP_PURCHASE_GEM_ITEM_ID,"-1,-1",1001051,IN_APP_PURCHASE_DOUBLE_GEM_COUNT6,None,1106,iap_purchase
4,1002001,IN_APP_PURCHASE_AD_SKIP_TICKET_ITEM_ID,"-1,-1",1002001,IN_APP_PURCHASE_AD_SKIP_TICKET_COUNT1,None,2001,iap_purchase
4,1002011,IN_APP_PURCHASE_AD_SKIP_TICKET_ITEM_ID,"-1,-1",1002011,IN_APP_PURCHASE_AD_SKIP_TICKET_COUNT2,None,2002,iap_purchase
4,1002021,IN_APP_PURCHASE_AD_SKIP_TICKET_ITEM_ID,"-1,-1",1002021,IN_APP_PURCHASE_AD_SKIP_TICKET_COUNT3,None,2003,iap_purchase
6,1003001,,"-1,-1",1003001,,,,
7,1003001,601,"-1,-1",1003002,,,,
4,1003001,IN_APP_PURCHASE_AD_SKIP_TICKET_ITEM_ID,"-1,-1",1003003,IN_APP_PURCHASE_AD_SKIP_TICKET_COUNT4,None,3001,iap_purchase
6,1003011,,"-1,-1",1003011,,,,
4,1004001,IN_APP_PURCHASE_MONEY_ITEM_ID,"-1,-1",1004001,IN_APP_PURCHASE_MONEY_COUNT1,InAppPurchase_EarnItem,4001,iap_purchase
