GroupID,RewardGroupType,id
10001,2,1
10001,1,2
101001,1,10010
101002,1,10020
101003,1,10030
101004,1,10040
101005,1,10050
101006,1,10060
101007,1,10070
101008,1,10080
101009,1,10090
101010,1,10100
102001,1,20010
102002,1,20020
102003,1,20030
102004,1,20040
102004,3,20041
102005,1,20050
102006,1,20060
102007,1,20070
102007,3,20071
102008,1,20080
102009,1,20090
102010,1,20100
103001,1,30010
103002,1,30020
103003,1,30030
103004,1,30040
103004,3,30041
103005,1,30050
103006,1,30060
103007,1,30070
103007,3,30071
103008,1,30080
103009,1,30090
103010,1,30100
104001,1,40010
104002,1,40020
104003,1,40030
104004,1,40040
104004,3,40041
104005,1,40050
104006,1,40060
104007,1,40070
104007,3,40071
104008,1,40080
104009,1,40090
104010,1,40100
105001,1,50010
105002,1,50020
105003,1,50030
105004,1,50040
105004,3,50041
105005,1,50050
105006,1,50060
105007,1,50070
105007,3,50071
105008,1,50080
105009,1,50090
105010,1,50100
106001,1,60010
106001,2,60011
106002,1,60020
106002,2,60021
106003,1,60030
106003,2,60031
106004,1,60040
106004,2,60041
106005,1,60050
106005,2,60051
106006,1,60060
106006,2,60061
106007,1,60070
106007,2,60071
106008,1,60080
106008,2,60081
106009,1,60090
106009,2,60091
106010,1,60100
106010,2,60101
106011,1,60110
106011,2,60111
106012,1,60120
106012,2,60121
1000001,1,100001
2000001,1,200001
3000001,1,300001
4000001,1,400001
