Count,GroupID,ItemId,MultiplierType,id,RCCountKey
1000,10001,10001,0,1,
200,10002,10002,0,2,
300,10002,10006,0,3,
550,101001,10002,0,10010,
400,101002,10002,0,10020,
550,101003,10002,0,10030,
1250,101004,10002,0,10040,
2050,101005,10002,0,10050,
900,101006,10002,0,10060,
900,101007,10002,0,10070,
1150,101008,10002,0,10080,
1550,101009,10002,0,10090,
2800,101010,10002,0,10100,
1000,102001,10006,0,20010,
50,102001,10002,0,20011,
1300,102002,10006,0,20020,
100,102002,10003,0,20021,
1600,102003,10006,0,20030,
100,102003,10002,0,20031,
0,102003,30001,0,20032,STAGE_REWARD_ASIA_3_DYNAMITE_COUNT
1900,102004,10006,0,20040,
200,102004,10003,0,20041,
2100,102005,10006,0,20050,
150,102005,10002,0,20051,
2900,102006,10006,0,20060,
300,102006,10003,0,20061,
0,102006,30001,0,20062,STAGE_REWARD_ASIA_6_DYNAMITE_COUNT
4100,102007,10006,0,20070,
200,102007,10002,0,20071,
5400,102008,10006,0,20080,
400,102008,10003,0,20081,
7500,102009,10006,0,20090,
250,102009,10002,0,20091,
0,102009,30001,0,20092,STAGE_REWARD_ASIA_9_DYNAMITE_COUNT
10000,102010,10006,0,20100,
500,102010,10003,0,20101,
1000,103001,10006,0,30010,
50,103001,10002,0,30011,
1300,103002,10006,0,30020,
100,103002,10003,0,30021,
1600,103003,10006,0,30030,
100,103003,10002,0,30031,
0,103003,30001,0,30032,STAGE_REWARD_SAMERICA_3_DYNAMITE_COUNT
1900,103004,10006,0,30040,
200,103004,10003,0,30041,
2100,103005,10006,0,30050,
150,103005,10002,0,30051,
2900,103006,10006,0,30060,
300,103006,10003,0,30061,
0,103006,30001,0,30062,STAGE_REWARD_SAMERICA_6_DYNAMITE_COUNT
4100,103007,10006,0,30070,
200,103007,10002,0,30071,
5400,103008,10006,0,30080,
400,103008,10003,0,30081,
7500,103009,10006,0,30090,
250,103009,10002,0,30091,
0,103009,30001,0,30092,STAGE_REWARD_SAMERICA_9_DYNAMITE_COUNT
10000,103010,10006,0,30100,
500,103010,10003,0,30101,
1000,104001,10006,0,40010,
50,104001,10002,0,40011,
1300,104002,10006,0,40020,
100,104002,10003,0,40021,
1600,104003,10006,0,40030,
100,104003,10002,0,40031,
0,104003,30001,0,40032,STAGE_REWARD_AFRICA_3_DYNAMITE_COUNT
1900,104004,10006,0,40040,
200,104004,10003,0,40041,
2100,104005,10006,0,40050,
150,104005,10002,0,40051,
2900,104006,10006,0,40060,
300,104006,10003,0,40061,
0,104006,30001,0,40062,STAGE_REWARD_AFRICA_6_DYNAMITE_COUNT
4100,104007,10006,0,40070,
200,104007,10002,0,40071,
5400,104008,10006,0,40080,
400,104008,10003,0,40081,
7500,104009,10006,0,40090,
250,104009,10002,0,40091,
0,104009,30001,0,40092,STAGE_REWARD_AFRICA_9_DYNAMITE_COUNT
10000,104010,10006,0,40100,
500,104010,10003,0,40101,
1000,105001,10006,0,50010,
50,105001,10002,0,50011,
1300,105002,10006,0,50020,
100,105002,10003,0,50021,
1600,105003,10006,0,50030,
100,105003,10002,0,50031,
2,105003,30001,0,50032,STAGE_REWARD_OCEANIA_3_DYNAMITE_COUNT
1900,105004,10006,0,50040,
200,105004,10003,0,50041,
2100,105005,10006,0,50050,
150,105005,10002,0,50051,
2900,105006,10006,0,50060,
300,105006,10003,0,50061,
2,105006,30001,0,50062,STAGE_REWARD_OCEANIA_6_DYNAMITE_COUNT
4100,105007,10006,0,50070,
200,105007,10002,0,50071,
5400,105008,10006,0,50080,
400,105008,10003,0,50081,
7500,105009,10006,0,50090,
250,105009,10002,0,50091,
0,105009,30001,0,50092,STAGE_REWARD_OCEANIA_9_DYNAMITE_COUNT
10000,105010,10006,0,50100,
500,105010,10003,0,50101,
50,106001,20009,0,60010,
50,106002,20009,0,60020,
50,106003,20009,0,60030,
50,106004,20005,0,60040,
50,106005,20005,0,60050,
50,106006,20005,0,60060,
50,106007,20002,0,60070,
50,106008,20002,0,60080,
50,106009,20002,0,60090,
50,106010,20003,0,60100,
50,106011,20003,0,60110,
50,106012,20003,0,60120,
1,1000001,10001,0,100001,
1,1000001,10006,0,100002,
1,2000001,10001,0,200001,
1,2000001,10006,0,200002,
1,3000001,10001,0,300001,
1,3000001,10006,0,300002,
1,4000001,10001,0,400001,
1,4000001,10006,0,400002,
50,107010,20001,0,70100,
50,107010,20009,0,70101,
50,107010,20007,0,70102,
50,107010,20005,0,70103,
50,107010,20004,0,70104,
50,107010,20002,0,70105,
50,107010,20006,0,70106,
50,107010,20003,0,70107,
50,107010,20008,0,70108,
20,107020,20010,0,70200,
