BoostOfferType,ConditionGroupId,ConfirmPopupType,DescriptionFormat,EffectCoolTime,EffectGroupId,GameModeType,ObjectLocationType,OfferDuration,OpenSFX,Order,PlacementType,PopupSubDescription,PopupTitle,SkinPath,StoppedDuration,ThumbnailPath,UIThumbnailPath,UserActionType,id,PopupDescription
1,101,1,RVBOOST_POPUP_DESC_SPEED,300,10001,0,0,20,RvBoost_Speed,5,1,RVBOOST_POPUP_SUB_DESC_5MIN,RVBOOST_TITLE_SPEED,RvBoost/Prefabs/Skin/RV_Speed,0.1,RvBoost/Textures/Popup_Thumbnail/TN_AD_Speed,RvBoost/Textures/Popup_Thumbnail/TN_AD_Speed,1,1001,
1,102,1,RVBOOST_POPUP_DESC_DAMAGE,180,10002,0,0,20,RvBoost_Damage,6,2,RVBOOST_POPUP_SUB_DESC_3MIN,RVBOOST_TITLE_DAMAGE,RvBoost/Prefabs/Skin/RV_Damage,0.1,RvBoost/Textures/Popup_Thumbnail/TN_AD_Damage,RvBoost/Textures/Popup_Thumbnail/TN_AD_Damage,1,1002,
1,103,1,,30,10003,0,0,20,RvBoost_Cargo,4,3,RVBOOST_POPUP_SUB_DESC_15SEC,RVBOOST_TITLE_MAGNET,RvBoost/Prefabs/Skin/RV_Magnet,0.1,RvBoost/Textures/Popup_Thumbnail/TN_AD_Magnet,RvBoost/Textures/Popup_Thumbnail/TN_AD_Magnet,1,1003,RVBOOST_POPUP_DESC_MAGNET
1,301,1,RVBOOST_POPUP_DESC_SPEED,300,10001,0,0,20,RvBoost_Speed,2,1,RVBOOST_POPUP_SUB_DESC_5MIN,RVBOOST_TITLE_SPEED,RvBoost/Prefabs/Skin/RV_Speed,0.1,RvBoost/Textures/Popup_Thumbnail/TN_AD_Speed,RvBoost/Textures/Popup_Thumbnail/TN_AD_Speed,2,2001,
1,302,1,RVBOOST_POPUP_DESC_DAMAGE,180,10002,0,0,20,RvBoost_Damage,3,2,RVBOOST_POPUP_SUB_DESC_3MIN,RVBOOST_TITLE_DAMAGE,RvBoost/Prefabs/Skin/RV_Damage,0.1,RvBoost/Textures/Popup_Thumbnail/TN_AD_Damage,RvBoost/Textures/Popup_Thumbnail/TN_AD_Damage,2,2002,
1,303,1,,30,10003,0,0,20,RvBoost_Cargo,1,3,RVBOOST_POPUP_SUB_DESC_15SEC,RVBOOST_TITLE_MAGNET,RvBoost/Prefabs/Skin/RV_Magnet,0.1,RvBoost/Textures/Popup_Thumbnail/TN_AD_Magnet,RvBoost/Textures/Popup_Thumbnail/TN_AD_Magnet,2,2003,RVBOOST_POPUP_DESC_MAGNET
2,401,2,RVBOOST_POPUP_DESC_CASH,180,10004,0,0,20,RvBoost_Speed,2,4,,RVBOOST_TITLE_CASH,,0,RvBoost/Textures/Popup_Thumbnail/TN_CashVault,RvBoost/Textures/UI_Thumbnail/Icn_CashStack,1,3001,
2,402,2,RVBOOST_POPUP_DESC_GEAR,180,10005,0,0,20,RvBoost_Damage,2,5,,RVBOOST_TITLE_GEAR,,0,RvBoost/Textures/Popup_Thumbnail/TN_GearCrate,RvBoost/Textures/UI_Thumbnail/Icn_Gear,1,3002,
2,403,2,RVBOOST_POPUP_DESC_GEM,180,10008,0,0,20,RvBoost_Speed,2,16,,RVBOOST_TITLE_GEM,,0,RvBoost/Textures/Popup_Thumbnail/TN_GemVault,RvBoost/Textures/UI_Thumbnail/Icn_Gem,1,3003,
2,304,2,RVBOOST_POPUP_DESC_CASH,180,10004,0,0,20,RvBoost_Speed,1,4,,RVBOOST_TITLE_CASH,,0,RvBoost/Textures/Popup_Thumbnail/TN_CashVault,RvBoost/Textures/UI_Thumbnail/Icn_CashStack,2,4001,
3,501,3,RVBOOST_POPUP_DESC_FURNACE,180,10006,0,1,20,RvBoost_Damage,4,6,RVBOOST_POPUP_SUB_DESC_3MIN,RVBOOST_TITLE_FURNACE,RvBoost/Prefabs/Skin/RV_Smelter,0.1,RvBoost/Textures/Popup_Thumbnail/TN_Smelter,RvBoost/Textures/Popup_Thumbnail/TN_Smelter,1,5001,
3,502,3,,180,10007,0,2,20,RvBoost_Cargo,5,7,,RVBOOST_TITLE_TRUCK,RvBoost/Prefabs/Skin/RV_Truck,0.1,RvBoost/Textures/Popup_Thumbnail/TN_Truck,RvBoost/Textures/Popup_Thumbnail/TN_Truck,1,5002,RVBOOST_POPUP_DESC_TRUCK
3,503,3,,180,10009,0,3,20,RvBoost_Speed,6,18,RVBOOST_POPUP_SUB_DESC_3MIN,RVBOOST_TITLE_PIZZA,RvBoost/Prefabs/Skin/RV_Pizza,0.1,RvBoost/Textures/Popup_Thumbnail/TN_Pizza,RvBoost/Textures/UI_Thumbnail/Icn_Pizza,1,5003,RVBOOST_POPUP_DESC_PIZZA
3,306,3,RVBOOST_POPUP_DESC_FURNACE,180,10006,0,1,20,RvBoost_Damage,1,6,RVBOOST_POPUP_SUB_DESC_3MIN,RVBOOST_TITLE_FURNACE,RvBoost/Prefabs/Skin/RV_Smelter,0.1,RvBoost/Textures/Popup_Thumbnail/TN_Smelter,RvBoost/Textures/Popup_Thumbnail/TN_Smelter,2,6001,
3,307,3,,180,10007,0,2,20,RvBoost_Cargo,2,7,,RVBOOST_TITLE_TRUCK,RvBoost/Prefabs/Skin/RV_Truck,0.1,RvBoost/Textures/Popup_Thumbnail/TN_Truck,RvBoost/Textures/Popup_Thumbnail/TN_Truck,2,6002,RVBOOST_POPUP_DESC_TRUCK
3,308,3,,180,10009,0,3,20,RvBoost_Speed,3,18,RVBOOST_POPUP_SUB_DESC_3MIN,RVBOOST_TITLE_PIZZA,RvBoost/Prefabs/Skin/RV_Pizza,0.1,RvBoost/Textures/Popup_Thumbnail/TN_Pizza,RvBoost/Textures/UI_Thumbnail/Icn_Pizza,2,6003,RVBOOST_POPUP_DESC_PIZZA
3,504,2,RVBOOST_POPUP_DESC_CASH,30,10010,0,4,100000000,RvBoost_Speed,7,20,,RVBOOST_TITLE_CASH,RvBoost/Prefabs/Skin/RV_Money,0.1,RvBoost/Textures/Popup_Thumbnail/TN_CashVault,RvBoost/Textures/UI_Thumbnail/Icn_CashStack,1,7001,
1,10001,1,RVBOOST_POPUP_DESC_SPEED,120,100001,2,0,20,RvBoost_Speed,8,22,RVBOOST_POPUP_SUB_DESC_1,RVBOOST_TITLE_SPEED,RvBoost/Prefabs/Skin/RV_Speed,0.1,RvBoost/Textures/Popup_Thumbnail/TN_AD_Speed,RvBoost/Textures/Popup_Thumbnail/TN_AD_Speed,1,10001,
1,10002,1,RVBOOST_POPUP_DESC_DAMAGE,70,100002,2,0,20,RvBoost_Damage,9,23,RVBOOST_POPUP_SUB_DESC_2,RVBOOST_TITLE_DAMAGE,RvBoost/Prefabs/Skin/RV_Damage,0.1,RvBoost/Textures/Popup_Thumbnail/TN_AD_Damage,RvBoost/Textures/Popup_Thumbnail/TN_AD_Damage,1,10002,
1,10003,1,,5,100003,2,0,20,RvBoost_Cargo,7,24,RVBOOST_POPUP_SUB_DESC_3,RVBOOST_TITLE_MAGNET,RvBoost/Prefabs/Skin/RV_Magnet,0.1,RvBoost/Textures/Popup_Thumbnail/TN_AD_Magnet,RvBoost/Textures/Popup_Thumbnail/TN_AD_Magnet,1,10003,RVBOOST_POPUP_DESC_MAGNET
