ConditionType,FailureMessage,GroupId,Param1,id,Param2,Param3
7,CONDITION_FAIL_EQUIP_LOCKED,101,301,10101,,
10,CONDITION_FAIL_BUFF_ACTIVE,101,10001,10102,,
23,CONDITION_FAIL_GAME_MODE,101,MainStage,10103,,
7,CONDITION_FAIL_EQUIP_LOCKED,102,301,10201,,
2,CONDITION_FAIL_NO_ORE,102,7.5,10202,,
10,CONDITION_FAIL_BUFF_ACTIVE,102,10002,10203,,
11,CONDITION_FAIL_CANT_MINE,102,,10204,,
23,CONDITION_FAIL_GAME_MODE,102,MainStage,10205,,
7,CONDITION_FAIL_EQUIP_LOCKED,103,301,10301,,
4,CONDITION_FAIL_CARGO_FULL,103,0.66,10302,,
3,CONDITION_FAIL_ORE_MAX,103,200,10303,,
10,CONDITION_FAIL_BUFF_ACTIVE,103,10003,10304,,
23,CONDITION_FAIL_GAME_MODE,103,MainStage,10305,,
6,CONDITION_FAIL_LV_LOW,201,2,20101,,
8,CONDITION_FAIL_PROGRESS_LACK,202,2,20201,40,
8,CONDITION_FAIL_PROGRESS_LACK,203,1,20301,60,
6,CONDITION_FAIL_LV_LOW,204,4,20401,,
6,CONDITION_FAIL_LV_LOW,205,5,20501,,
6,CONDITION_FAIL_LV_LOW,206,6,20601,,
8,CONDITION_FAIL_PROGRESS_LACK,207,3,20701,50,
19,CONDITION_FAIL_NOT_ONBOARD,207,1401,20702,,
22,CONDITION_FAIL_NEVER_OWNED,208,10006,20801,,
19,CONDITION_FAIL_NOT_ONBOARD,208,1405,20801,,
7,CONDITION_FAIL_EQUIP_LOCKED,301,301,30101,,
9,CONDITION_FAIL_LV_HIGH,301,1,30102,,
7,CONDITION_FAIL_EQUIP_LOCKED,302,301,30201,,
2,CONDITION_FAIL_NO_ORE,302,7.5,30202,,
9,CONDITION_FAIL_LV_HIGH,302,1,30203,,
11,CONDITION_FAIL_CANT_MINE,302,,30204,,
7,CONDITION_FAIL_EQUIP_LOCKED,303,301,30301,,
4,CONDITION_FAIL_CARGO_FULL,303,0.66,30302,,
3,CONDITION_FAIL_ORE_MAX,303,200,30303,,
9,CONDITION_FAIL_LV_HIGH,303,1,30304,,
7,CONDITION_FAIL_EQUIP_LOCKED,401,301,40101,,
15,CONDITION_FAIL_BOOST_MAX,401,3001,40102,6,
7,CONDITION_FAIL_EQUIP_LOCKED,304,301,30401,,
9,CONDITION_FAIL_LV_HIGH,304,1,30403,,
7,CONDITION_FAIL_EQUIP_LOCKED,402,301,40201,,
15,CONDITION_FAIL_BOOST_MAX,402,3002,40202,6,
16,CONDITION_FAIL_POPUP_OPEN,402,BulldozerMaster.PopupV2.Management.ManagementPopup,40203,,
7,CONDITION_FAIL_EQUIP_LOCKED,403,301,40301,,
15,CONDITION_FAIL_BOOST_MAX,403,3003,40302,2,
7,CONDITION_FAIL_EQUIP_LOCKED,501,301,50101,,
12,CONDITION_FAIL_SMELT_LACK,501,500,50102,,
14,CONDITION_FAIL_NOT_BASE,501,,50103,,
10,CONDITION_FAIL_BUFF_ACTIVE,501,10004,50104,,
7,CONDITION_FAIL_EQUIP_LOCKED,306,301,30601,,
12,CONDITION_FAIL_SMELT_LACK,306,500,30602,,
14,CONDITION_FAIL_NOT_BASE,306,,30603,,
10,CONDITION_FAIL_BUFF_ACTIVE,306,10004,30604,,
