CostItemCount,GroupID,PurchaseCount,id
60,4001,0,1
160,4002,0,2
340,4003,0,3
60,5001,0,4
160,5002,0,5
340,5003,0,6
60,6001,0,7
160,6002,0,8
340,6003,0,9
200,7001,0,10
600,7002,0,11
1200,7003,0,12
10,100002,0,13
25,100002,1,14
50,100002,2,15
100,100002,3,16
150,100002,4,17
200,100002,5,18
250,100002,6,19
10,100012,0,20
20,100012,1,21
30,100012,2,22
40,100012,3,23
50,100012,4,24
10,100022,0,25
20,100022,1,26
30,100022,2,27
40,100022,3,28
50,100022,4,29
60,100022,5,30
70,100022,6,31
80,100022,7,32
90,100022,8,33
100,100022,9,34
