key,value
IS_ON,1
IS_N_SECSHOW,60;4
IS_START_LV,0
IS_INTERVAL,30
IS_ITV_A,30
IS_ITV_A_ON,0
PD_ON,0
PD_INTERVAL,60
AOA_ENABLE,0
MVF_ON,0
IB_ID,0
AO_MV,0
IAP_CIS,0
ADS_NR,0
USPATH_A,0
USPATH_I,0
DISWP_G_ID,1
DISWP_P_I,0
DISWP_P_A,0
ANZU_ON_A,0
ANZU_ON_I,0
SNS_A_ON,0
SNS_I_ON,0
SNS_A_I,https://www.instagram.com/supercent_official/
SNS_A_T,https://www.tiktok.com/@supercent.official
SNS_A_Y,https://www.youtube.com/channel/UCB_NwEsoJQkEgzzqsjaPSpQ
SNS_I_I,https://www.instagram.com/supercent_official/
SNS_I_T,https://www.tiktok.com/@supercent.official
SNS_I_Y,https://www.youtube.com/channel/UCB_NwEsoJQkEgzzqsjaPSpQ
SNS_A_I_RA,0
SNS_A_T_RA,0
SNS_A_Y_RA,0
SNS_I_I_RA,0
SNS_I_T_RA,0
SNS_I_Y_RA,0
ENABLE_360,0
RV_BOOST_UI_ACTIVATE,1
RV_BOOST_UI_INTERVAL,180
RV_BOOST_UI_DURATION,20
RV_BOOST_TILE_ACTIVATE,1
RV_BOOST_TILE_INTERVAL,30
RV_BOOST_TILE_DURATION,20
AB_CHARACTER_SKIN,2
TREE_SKIP_SECONDS,900
RV_BOOST_MONEY_ITEM_ID,10001
RV_BOOST_MONEY_COUNT,3500
RV_BOOST_GEAR_ITEM_ID,10002
RV_BOOST_GEAR_COUNT,200
RV_BOOST_GEM_ITEM_ID,10005
RV_BOOST_GEM_COUNT,10
RV_BOOST_ATM_ITEM_ID,10001
RV_BOOST_ATM_COUNT,3500
RV_BOOST_STOPPED_TIME,0.1
RV_RESEARCH_MULTI,2
RV_HARVESTER_CARGO,500
RV_HARVESTER_DURATION,300
IN_APP_PURCHASE_GEM_ITEM_ID,10005
IN_APP_PURCHASE_GEM_COUNT1,100
