Desc,IconPrefabPath,ItemCategoryType,ItemType,MaxAmount,Name,ThumbnailPath,id
ITEM_DESC_CASH,UI/Prefabs/Currency/CurrencyIcon_Sprite,1,10001,0,ITEM_NAME_CASH,Currency/Textures/Icn_Money,10001
ITEM_DESC_GEAR,UI/Prefabs/Currency/CurrencyIcon_Sprite,1,10002,0,ITEM_NAME_GEAR,Currency/Textures/Icn_Gear,10002
ITEM_DESC_RESEARCH_POINT,UI/Prefabs/Currency/CurrencyIcon_Sprite,1,10003,0,ITEM_NAME_RESEARCH_POINT,Currency/Textures/Icn_ResearchPoint,10003
ITEM_DESC_AD_SKIP_TICKET,UI/Prefabs/Currency/CurrencyIcon_Sprite,1,10004,0,ITEM_NAME_AD_SKIP_TICKET,Currency/Textures/Icn_AdSkipTicket,10004
ITEM_DESC_GEM,UI/Prefabs/Currency/CurrencyIcon_Sprite,1,10005,0,ITEM_NAME_GEM,Currency/Textures/Icn_Gem,10005
ITEM_DESC_BIZ_POINT,UI/Prefabs/Currency/CurrencyIcon_Sprite,1,10006,0,ITEM_NAME_BIZ_POINT,Currency/Textures/Icn_BP,10006
ITEM_DESC_SECRETARY_TOKEN_SOFIA,UI/Prefabs/Currency/CurrencyIcon_Secre,2,20001,0,ITEM_NAME_SECRETARY_TOKEN_SOFIA,Currency/Textures/ICN_Secre_00,20001
ITEM_DESC_SECRETARY_TOKEN_SCARLETT,UI/Prefabs/Currency/CurrencyIcon_Secre,2,20002,0,ITEM_NAME_SECRETARY_TOKEN_SCARLETT,Currency/Textures/ICN_Secre_01,20002
ITEM_DESC_SECRETARY_TOKEN_LILY,UI/Prefabs/Currency/CurrencyIcon_Secre,2,20003,0,ITEM_NAME_SECRETARY_TOKEN_LILY,Currency/Textures/ICN_Secre_07,20003
ITEM_DESC_SECRETARY_TOKEN_SANDY,UI/Prefabs/Currency/CurrencyIcon_Secre,2,20004,0,ITEM_NAME_SECRETARY_TOKEN_SANDY,Currency/Textures/ICN_Secre_08,20004
ITEM_DESC_SECRETARY_TOKEN_CHLOE,UI/Prefabs/Currency/CurrencyIcon_Secre,2,20005,0,ITEM_NAME_SECRETARY_TOKEN_CHLOE,Currency/Textures/ICN_Secre_09,20005
ITEM_DESC_SECRETARY_TOKEN_NAOMI,UI/Prefabs/Currency/CurrencyIcon_Secre,2,20006,0,ITEM_NAME_SECRETARY_TOKEN_NAOMI,Currency/Textures/ICN_Secre_02,20006
ITEM_DESC_SECRETARY_TOKEN_NAYEON,UI/Prefabs/Currency/CurrencyIcon_Secre,2,20007,0,ITEM_NAME_SECRETARY_TOKEN_NAYEON,Currency/Textures/ICN_Secre_06,20007
ITEM_DESC_SECRETARY_TOKEN_CLAIRE,UI/Prefabs/Currency/CurrencyIcon_Secre,2,20008,0,ITEM_NAME_SECRETARY_TOKEN_CLAIRE,Currency/Textures/ICN_Secre_05,20008
ITEM_DESC_SECRETARY_TOKEN_MEI,UI/Prefabs/Currency/CurrencyIcon_Secre,2,20009,0,ITEM_NAME_SECRETARY_TOKEN_MEI,Currency/Textures/ICN_Secre_03,20009
ITEM_DESC_SECRETARY_TOKEN_HINA,UI/Prefabs/Currency/CurrencyIcon_Secre,2,20010,0,ITEM_NAME_SECRETARY_TOKEN_HINA,Currency/Textures/ICN_Secre_04,20010
ITEM_DESC_DYNAMITE,UI/Prefabs/Currency/CurrencyIcon_Sprite,1,30001,0,ITEM_NAME_DYNAMITE,Currency/Textures/Icn_Dynamite,30001
ITEM_DESC_BOND,UI/Prefabs/Currency/CurrencyIcon_Sprite,3,40001,0,ITEM_NAME_BOND,Currency/Textures/Icn_Bond,40001
