id,name,game_mode,product_type,display_group,sku,price_usd,reward_or_effect,cost_group,cost_item_type,condition_group,condition,limit_count,limit_type,reset_type,active
1001,Gem 1,1,1,8,gem1,,ITEM_NAME_GEM x 100,0,-1,0,,0,0,0,TRUE
1002,Gem 2,1,1,8,gem2,,ITEM_NAME_GEM x 275,0,-1,0,,0,0,0,TRUE
1003,Gem 3,1,1,8,gem3,,ITEM_NAME_GEM x 580,0,-1,0,,0,0,0,TRUE
1004,Gem 4,1,1,8,gem4,,ITEM_NAME_GEM x 1200,0,-1,0,,0,0,0,TRUE
1005,Gem 5,1,1,8,gem5,,ITEM_NAME_GEM x 3500,0,-1,0,,0,0,0,TRUE
1006,Gem 6,1,1,8,gem6,,ITEM_NAME_GEM x 8500,0,-1,0,,0,0,0,TRUE
1101,Double Gem 1,1,1,8,doublegem1,,ITEM_NAME_GEM x 200,0,-1,0,,0,0,0,TRUE
1102,Double Gem 2,1,1,8,doublegem2,,ITEM_NAME_GEM x 550,0,-1,0,,0,0,0,TRUE
1103,Double Gem 3,1,1,8,doublegem3,,ITEM_NAME_GEM x 1160,0,-1,0,,0,0,0,TRUE
1104,Double Gem 4,1,1,8,doublegem4,,ITEM_NAME_GEM x 2400,0,-1,0,,0,0,0,TRUE
1105,Double Gem 5,1,1,8,doublegem5,,ITEM_NAME_GEM x 7000,0,-1,0,,0,0,0,TRUE
1106,Double Gem 6,1,1,8,doublegem6,,ITEM_NAME_GEM x 17000,0,-1,0,,0,0,0,TRUE
1201,Daily Gem 1,1,3,8,,,ITEM_NAME_GEM x 10,0,-1,0,,1,1,0,TRUE
2001,SkipIts 1,1,1,3,skipits1,,ITEM_NAME_AD_SKIP_TICKET x 10,0,-1,0,,0,0,0,TRUE
2002,SkipIts 2,1,1,3,skipits2,,ITEM_NAME_AD_SKIP_TICKET x 45,0,-1,0,,0,0,0,TRUE
2003,SkipIts 3,1,1,3,skipits3,,ITEM_NAME_AD_SKIP_TICKET x 100,0,-1,0,,0,0,0,TRUE
3001,StarterPack,1,1,1,starterpack,,No Ads entitlement; Equipment 601; ITEM_NAME_AD_SKIP_TICKET x 20,0,-1,0,,0,0,0,TRUE
3002,No Ads,1,1,1,noadspack,,No Ads entitlement,0,-1,0,,0,0,0,TRUE
4001,Money 1,1,2,5,,,ITEM_NAME_CASH x 8000,4001,10005,0,,0,0,0,TRUE
4002,Money 2,1,2,5,,,ITEM_NAME_CASH x 24000,4002,10005,0,,0,0,0,TRUE
4003,Money 3,1,2,5,,,ITEM_NAME_CASH x 70000,4003,10005,0,,0,0,0,TRUE
5001,Daily,1,2,6,,,ITEM_NAME_GEAR x 250,5001,10005,901,Level min: 1,3,1,0,TRUE
5002,Weekly,1,2,6,,,ITEM_NAME_GEAR x 750,5002,10005,901,Level min: 1,2,2,0,TRUE
5003,Monthly,1,2,6,,,ITEM_NAME_GEAR x 2100,5003,10005,901,Level min: 1,1,2,0,TRUE
6001,Daily,1,2,7,,,ITEM_NAME_RESEARCH_POINT x 500,6001,10005,902,Level min: 4,3,1,0,TRUE
6002,Weekly,1,2,7,,,ITEM_NAME_RESEARCH_POINT x 1500,6002,10005,902,Level min: 4,2,2,0,TRUE
6003,Monthly,1,2,7,,,ITEM_NAME_RESEARCH_POINT x 4200,6003,10005,902,Level min: 4,1,2,0,TRUE
7001,Biz 1,1,2,4,,,ITEM_NAME_BIZ_POINT x 3000,7001,10005,30001,Owned item gate: 10006,3,1,0,TRUE
7002,Biz 2,1,2,4,,,ITEM_NAME_BIZ_POINT x 12600,7002,10005,30001,Owned item gate: 10006,2,2,0,TRUE
7003,Biz 3,1,2,4,,,ITEM_NAME_BIZ_POINT x 33600,7003,10005,30001,Owned item gate: 10006,1,2,0,TRUE
8001,Weekly,1,1,2,weeklyticket1,,ITEM_NAME_AD_SKIP_TICKET x 22; ITEM_NAME_GEM x 50,0,-1,0,,1,2,0,TRUE
8002,Weekly,1,1,2,weeklyticket2,,ITEM_NAME_AD_SKIP_TICKET x 49; ITEM_NAME_GEM x 100,0,-1,0,,1,2,0,TRUE
8003,Weekly,1,1,2,weeklyticket3,,ITEM_NAME_AD_SKIP_TICKET x 107; ITEM_NAME_GEM x 200,0,-1,0,,1,2,0,TRUE
8004,Weekly,1,1,2,weeklyticket4,,ITEM_NAME_AD_SKIP_TICKET x 178; ITEM_NAME_GEM x 300,0,-1,0,,1,2,0,TRUE
9001,SecretaryPack,1,1,1,secretarypack1,,ITEM_NAME_SECRETARY_TOKEN_HINA x 10; ITEM_NAME_GEM x 450,0,-1,20001,Onboarding gate: 1406,0,0,0,TRUE
100001,DynamitePack,2,3,1002,,,ITEM_NAME_DYNAMITE x 1,0,-1,0,,5,4,1,TRUE
100002,DynamitePack,2,2,1002,,,ITEM_NAME_DYNAMITE x 1,100002,10005,0,,99999,4,1,TRUE
100011,Speed Buff,2,3,1002,,,Buff 1000001,0,-1,0,,5,4,1,TRUE
100012,Speed Buff,2,2,1002,,,Buff 1000001,100012,10005,0,,99999,4,1,TRUE
100021,Power Buff,2,3,1002,,,Buff 1000002,0,-1,0,,5,4,1,TRUE
100022,Power Buff,2,2,1002,,,Buff 1000002,100022,10005,0,,99999,4,1,TRUE
100031,SkipIts 1,2,1,1003,skipits1,,ITEM_NAME_AD_SKIP_TICKET x 10,0,-1,0,,0,0,0,TRUE
100032,SkipIts 2,2,1,1003,skipits2,,ITEM_NAME_AD_SKIP_TICKET x 45,0,-1,0,,0,0,0,TRUE
100033,SkipIts 3,2,1,1003,skipits3,,ITEM_NAME_AD_SKIP_TICKET x 100,0,-1,0,,0,0,0,TRUE
100041,Gem 1,2,1,1004,gem1,,ITEM_NAME_GEM x 100,0,-1,0,,0,0,0,TRUE
100042,Gem 2,2,1,1004,gem2,,ITEM_NAME_GEM x 275,0,-1,0,,0,0,0,TRUE
100043,Gem 3,2,1,1004,gem3,,ITEM_NAME_GEM x 580,0,-1,0,,0,0,0,TRUE
100044,Gem 4,2,1,1004,gem4,,ITEM_NAME_GEM x 1200,0,-1,0,,0,0,0,TRUE
100045,Gem 5,2,1,1004,gem5,,ITEM_NAME_GEM x 3500,0,-1,0,,0,0,0,TRUE
100046,Gem 6,2,1,1004,gem6,,ITEM_NAME_GEM x 8500,0,-1,0,,0,0,0,TRUE
