id,game_mode,title_key,placement_type,offer_seconds,effect_cooltime_seconds,effect_group,condition_group,trigger_conditions,thumbnail
1001,0,RVBOOST_TITLE_SPEED,1,20,300,10001,101,Equipment unlock: 301 | Buff inactive: 10001 | Game mode: MainStage,RvBoost/Textures/Popup_Thumbnail/TN_AD_Speed
1002,0,RVBOOST_TITLE_DAMAGE,2,20,180,10002,102,Equipment unlock: 301 | Ore condition: 7.5 | Buff inactive: 10002 | Mining possible | Game mode: MainStage,RvBoost/Textures/Popup_Thumbnail/TN_AD_Damage
1003,0,RVBOOST_TITLE_MAGNET,3,20,30,10003,103,Equipment unlock: 301 | Cargo ratio: 0.66 | Ore count: 200 | Buff inactive: 10003 | Game mode: MainStage,RvBoost/Textures/Popup_Thumbnail/TN_AD_Magnet
2001,0,RVBOOST_TITLE_SPEED,1,20,300,10001,301,Equipment unlock: 301 | Level condition: 1,RvBoost/Textures/Popup_Thumbnail/TN_AD_Speed
2002,0,RVBOOST_TITLE_DAMAGE,2,20,180,10002,302,Equipment unlock: 301 | Ore condition: 7.5 | Level condition: 1 | Mining possible,RvBoost/Textures/Popup_Thumbnail/TN_AD_Damage
2003,0,RVBOOST_TITLE_MAGNET,3,20,30,10003,303,Equipment unlock: 301 | Cargo ratio: 0.66 | Ore count: 200 | Level condition: 1,RvBoost/Textures/Popup_Thumbnail/TN_AD_Magnet
3001,0,RVBOOST_TITLE_CASH,4,20,180,10004,401,"Equipment unlock: 301 | Usage cap: 3001, 6",RvBoost/Textures/Popup_Thumbnail/TN_CashVault
3002,0,RVBOOST_TITLE_GEAR,5,20,180,10005,402,"Equipment unlock: 301 | Usage cap: 3002, 6 | Popup state: BulldozerMaster.PopupV2.Management.ManagementPopup",RvBoost/Textures/Popup_Thumbnail/TN_GearCrate
3003,0,RVBOOST_TITLE_GEM,16,20,180,10008,403,"Equipment unlock: 301 | Usage cap: 3003, 2",RvBoost/Textures/Popup_Thumbnail/TN_GemVault
4001,0,RVBOOST_TITLE_CASH,4,20,180,10004,304,Equipment unlock: 301 | Level condition: 1,RvBoost/Textures/Popup_Thumbnail/TN_CashVault
5001,0,RVBOOST_TITLE_FURNACE,6,20,180,10006,501,Equipment unlock: 301 | Smelter backlog: 500 | At base | Buff inactive: 10004,RvBoost/Textures/Popup_Thumbnail/TN_Smelter
5002,0,RVBOOST_TITLE_TRUCK,7,20,180,10007,502,Equipment unlock: 301 | Sales backlog: 300 | At base,RvBoost/Textures/Popup_Thumbnail/TN_Truck
5003,0,RVBOOST_TITLE_PIZZA,18,20,180,10009,503,Equipment unlock: 301 | At base,RvBoost/Textures/Popup_Thumbnail/TN_Pizza
6001,0,RVBOOST_TITLE_FURNACE,6,20,180,10006,306,Equipment unlock: 301 | Smelter backlog: 500 | At base | Buff inactive: 10004 | Level condition: 1,RvBoost/Textures/Popup_Thumbnail/TN_Smelter
6002,0,RVBOOST_TITLE_TRUCK,7,20,180,10007,307,Equipment unlock: 301 | Sales backlog: 300 | At base | Level condition: 1,RvBoost/Textures/Popup_Thumbnail/TN_Truck
6003,0,RVBOOST_TITLE_PIZZA,18,20,180,10009,308,Equipment unlock: 301 | At base | Level condition: 1,RvBoost/Textures/Popup_Thumbnail/TN_Pizza
7001,0,RVBOOST_TITLE_CASH,20,100000000,30,10010,504,"Level min: 2 | At machinery shop | Usage cap: 7001, 2",RvBoost/Textures/Popup_Thumbnail/TN_CashVault
10001,2,RVBOOST_TITLE_SPEED,22,20,120,100001,10001,"Equipment unlock: 301 | Buff inactive: 1000001 | Game mode: UrgentMiningContract | Event boost use cap: UrgentMiningContract, 99999, 10001 | Onboarding complete: 1404",RvBoost/Textures/Popup_Thumbnail/TN_AD_Speed
10002,2,RVBOOST_TITLE_DAMAGE,23,20,70,100002,10002,"Equipment unlock: 301 | Ore condition: 7.5 | Buff inactive: 1000002 | Mining possible | Game mode: UrgentMiningContract | Event boost use cap: UrgentMiningContract, 99999, 10002 | Onboarding complete: 1404",RvBoost/Textures/Popup_Thumbnail/TN_AD_Damage
10003,2,RVBOOST_TITLE_MAGNET,24,20,5,100003,10003,"Equipment unlock: 301 | Cargo ratio: 0.66 | Ore count: 200 | Buff inactive: 1000003 | Game mode: UrgentMiningContract | Event boost use cap: UrgentMiningContract, 99999, 10003 | Onboarding complete: 1404",RvBoost/Textures/Popup_Thumbnail/TN_AD_Magnet
