texture_name,raw_asset_file,width,height,unity_format,decoded_format,payload_size,output_file
Icn_10102,0092db1540ed34667b8c8c63ce16ee3b,128,128,51,ASTC 8x8,4096,astc_all/Icn_10102__0092db1540ed34667b8c8c63ce16ee3b__128x128__ASTC_8x8.astc
TN_Combo,023cf232d8a764489ac658008c96531e,64,64,50,ASTC 6x6,1936,astc_all/TN_Combo__023cf232d8a764489ac658008c96531e__64x64__ASTC_6x6.astc
Icn_10205,036f357c9b5b2480aa2d38d5675e06a5,128,128,51,ASTC 8x8,4096,astc_all/Icn_10205__036f357c9b5b2480aa2d38d5675e06a5__128x128__ASTC_8x8.astc
ICN_NorthAmerica_Select,04327aadf84b646d7b97e8e28f3a61b5,64,64,50,ASTC 6x6,1936,astc_all/ICN_NorthAmerica_Select__04327aadf84b646d7b97e8e28f3a61b5__64x64__ASTC_6x6.astc
TN_Worker_05,046d3919b22354007bc5cce690a3da56,512,512,50,ASTC 6x6,118336,astc_all/TN_Worker_05__046d3919b22354007bc5cce690a3da56__512x512__ASTC_6x6.astc
ICN_SouthAmerica_Unselect,04812b65409264cda85d559ec0eede3a,64,64,50,ASTC 6x6,1936,astc_all/ICN_SouthAmerica_Unselect__04812b65409264cda85d559ec0eede3a__64x64__ASTC_6x6.astc
TN_Ingot_Diamond,04a204bbffde34ecbb0fe7aface38003,64,64,50,ASTC 6x6,1936,astc_all/TN_Ingot_Diamond__04a204bbffde34ecbb0fe7aface38003__64x64__ASTC_6x6.astc
TN_Ingot_Silver,051f957ce27e745049e812db128ee412,64,64,50,ASTC 6x6,1936,astc_all/TN_Ingot_Silver__051f957ce27e745049e812db128ee412__64x64__ASTC_6x6.astc
TN_Gear_02,05aa0e567350746e481610f56b73676d,256,256,50,ASTC 6x6,29584,astc_all/TN_Gear_02__05aa0e567350746e481610f56b73676d__256x256__ASTC_6x6.astc
Icn_Carry_Black02,05cf26456027c4c568ae111792132611,70,70,50,ASTC 6x6,2304,astc_all/Icn_Carry_Black02__05cf26456027c4c568ae111792132611__70x70__ASTC_6x6.astc
ICN_Secre_05,05d2ca4c8268d41fea40f0b603e0a705,128,128,50,ASTC 6x6,7744,astc_all/ICN_Secre_05__05d2ca4c8268d41fea40f0b603e0a705__128x128__ASTC_6x6.astc
Icn_40504,062edd9e76b2a47b09e1c7e1bc8be5eb,128,128,51,ASTC 8x8,4096,astc_all/Icn_40504__062edd9e76b2a47b09e1c7e1bc8be5eb__128x128__ASTC_8x8.astc
Img_Txt_Portuguese,0682624e5b795400d965a190287b810b,128,32,50,ASTC 6x6,2112,astc_all/Img_Txt_Portuguese__0682624e5b795400d965a190287b810b__128x32__ASTC_6x6.astc
ICN_Clock_1,06cfe1de4b3ea4ec993a3d625908f449,18,7,50,ASTC 6x6,96,astc_all/ICN_Clock_1__06cfe1de4b3ea4ec993a3d625908f449__18x7__ASTC_6x6.astc
TN_Ingot_Yooperlite,07232ae9d49ba4d1391e062332b321e9,64,64,50,ASTC 6x6,1936,astc_all/TN_Ingot_Yooperlite__07232ae9d49ba4d1391e062332b321e9__64x64__ASTC_6x6.astc
TN_Ore_Dunite,0753ebbe7ce724fe59eeb415e49836ed,256,256,50,ASTC 6x6,29584,astc_all/TN_Ore_Dunite__0753ebbe7ce724fe59eeb415e49836ed__256x256__ASTC_6x6.astc
TN_Ingot_Granite,07f2f520f5e4346998ae9aa38f0f8b1c,64,64,50,ASTC 6x6,1936,astc_all/TN_Ingot_Granite__07f2f520f5e4346998ae9aa38f0f8b1c__64x64__ASTC_6x6.astc
ICN_EngineOverheat,07fae683719574350a69e6ceaeee7832,64,64,50,ASTC 6x6,1936,astc_all/ICN_EngineOverheat__07fae683719574350a69e6ceaeee7832__64x64__ASTC_6x6.astc
ICN_HydraulicBreaker,08482221f101f4a82a9f8b7b5856387e,256,256,50,ASTC 6x6,29584,astc_all/ICN_HydraulicBreaker__08482221f101f4a82a9f8b7b5856387e__256x256__ASTC_6x6.astc
Icn_90104,092800730b3f04f798bbda3a30975091,128,128,51,ASTC 8x8,4096,astc_all/Icn_90104__092800730b3f04f798bbda3a30975091__128x128__ASTC_8x8.astc
TN_Ingot_Bronzite,098c63d5efa344495a1ecbccc2f276b2,64,64,50,ASTC 6x6,1936,astc_all/TN_Ingot_Bronzite__098c63d5efa344495a1ecbccc2f276b2__64x64__ASTC_6x6.astc
